#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 157000      1.75e+00    1.34e+00      2.48e-03    2.57e-03      1.22e-01    9.37e-02    2.0e-04
 158000      2.00e+00    1.82e+00      4.36e-03    4.83e-03      1.40e-01    1.27e-01    2.0e-04
 159000      1.28e+00    1.88e+00      1.15e-03    1.31e-03      8.92e-02    1.31e-01    2.0e-04
 160000      1.52e+00    1.77e+00      2.72e-03    3.06e-03      1.09e-01    1.27e-01    1.9e-04
 161000      1.75e+00    1.55e+00      1.75e-03    1.43e-03      1.25e-01    1.11e-01    1.9e-04
 162000      1.68e+00    1.45e+00      6.65e-04    8.43e-04      1.20e-01    1.04e-01    1.9e-04
 163000      1.89e+00    1.86e+00      7.96e-04    3.80e-04      1.36e-01    1.34e-01    1.9e-04
 164000      1.59e+00    1.94e+00      4.35e-03    4.26e-03      1.14e-01    1.39e-01    1.9e-04
 165000      1.32e+00    1.49e+00      7.74e-03    8.21e-03      9.69e-02    1.09e-01    1.8e-04
 166000      1.68e+00    1.75e+00      4.26e-03    4.58e-03      1.24e-01    1.29e-01    1.8e-04
 167000      1.79e+00    1.78e+00      6.32e-03    6.46e-03      1.32e-01    1.31e-01    1.8e-04
 168000      1.23e+00    1.36e+00      2.47e-03    2.56e-03      9.08e-02    9.99e-02    1.8e-04
 169000      1.73e+00    1.82e+00      2.43e-03    2.37e-03      1.27e-01    1.34e-01    1.8e-04
 170000      1.50e+00    1.62e+00      1.18e-03    1.27e-03      1.13e-01    1.22e-01    1.7e-04
 171000      1.51e+00    1.95e+00      1.55e-03    1.60e-03      1.14e-01    1.47e-01    1.7e-04
 172000      1.64e+00    1.14e+00      5.40e-03    5.68e-03      1.24e-01    8.62e-02    1.7e-04
 173000      1.72e+00    1.59e+00      6.32e-04    6.07e-04      1.30e-01    1.20e-01    1.7e-04
 174000      1.51e+00    1.56e+00      2.46e-03    2.88e-03      1.14e-01    1.18e-01    1.7e-04
 175000      1.51e+00    2.04e+00      6.68e-04    5.69e-04      1.17e-01    1.58e-01    1.7e-04
 176000      1.34e+00    1.56e+00      9.18e-04    6.23e-04      1.03e-01    1.21e-01    1.7e-04
 177000      1.39e+00    8.23e-01      1.64e-03    8.66e-04      1.08e-01    6.37e-02    1.7e-04
 178000      1.81e+00    1.30e+00      1.03e-03    9.23e-04      1.40e-01    1.01e-01    1.7e-04
 179000      1.64e+00    1.60e+00      1.35e-03    1.64e-03      1.27e-01    1.24e-01    1.7e-04
 180000      1.46e+00    1.33e+00      5.99e-04    3.44e-04      1.16e-01    1.06e-01    1.6e-04
 181000      1.37e+00    1.38e+00      3.23e-04    6.31e-04      1.09e-01    1.10e-01    1.6e-04
 182000      1.91e+00    1.85e+00      1.03e-03    3.91e-04      1.52e-01    1.47e-01    1.6e-04
 183000      1.48e+00    1.42e+00      1.53e-03    1.39e-03      1.18e-01    1.13e-01    1.6e-04
 184000      1.27e+00    1.56e+00      1.34e-03    1.31e-03      1.01e-01    1.24e-01    1.6e-04
 185000      1.39e+00    1.70e+00      2.73e-03    2.56e-03      1.13e-01    1.38e-01    1.5e-04
 186000      1.26e+00    1.31e+00      1.29e-03    1.47e-03      1.03e-01    1.07e-01    1.5e-04
 187000      1.37e+00    1.14e+00      2.32e-03    2.06e-03      1.11e-01    9.26e-02    1.5e-04
 188000      1.91e+00    1.60e+00      1.56e-03    1.17e-03      1.56e-01    1.30e-01    1.5e-04
 189000      1.32e+00    1.27e+00      2.28e-03    2.30e-03      1.07e-01    1.03e-01    1.5e-04
 190000      1.32e+00    9.50e-01      2.43e-03    2.72e-03      1.10e-01    7.93e-02    1.4e-04
 191000      1.25e+00    1.43e+00      8.39e-04    6.93e-04      1.04e-01    1.20e-01    1.4e-04
